year,plant,meankwr,meanwater,perc_coal,perc_natural_gas_oil,perc_nuclear,perc_wind,perc_solar,perc_biomass
2011,Davis,1641.27,2188.3233333333333,474.32703,423.44766,349.59051,96.35896170000001,50.98605255,8.57563575
2012,Davis,1783.6466666666668,1793.9191666666666,481.5846000000001,362.08027333333337,390.61861999999996,165.344046,87.487869,14.715085000000002
2013,Davis,1719.8766666666668,1923.1425,445.44805666666673,270.0206366666667,392.13188,220.01694246000002,116.41673169,19.580795850000005
2014,Davis,1813.4075,1685.6508333333334,582.1038075,277.4513475,487.80661749999996,285.77488792500003,151.2109843875,25.4330401875
2015,Davis,1880.4275,1454.2858333333334,507.71542500000004,338.47695,545.323975,302.14709070000004,159.87394605000003,26.89011325
2017,Davis,1929.3466666666666,1280.9658333333334,544.07576,248.88572,453.39646666666664,434.01039136,229.64627503999998,38.625520266666655
2011,Ullrich,1946.62,1691.6366666666665,562.57318,502.22796,414.63005999999996,114.28606020000001,60.4717503,10.171089499999999
2012,Ullrich,1787.7775,2311.096666666667,482.699925,362.9188325,391.5232724999999,165.72697424999998,87.690486375,14.749164375
2013,Ullrich,1825.9066666666668,1949.5066666666667,472.90982666666673,286.6673466666667,416.30672000000004,233.58093624000003,123.59379636,20.787947400000004
2014,Ullrich,1822.6883333333333,1952.7008333333333,585.082955,278.871315,490.3031616666666,287.23745445000003,151.984866675,25.563203875000003
2015,Ullrich,1817.1891666666666,1681.8866666666668,490.641075,327.09405,526.9848583333332,291.9859553,154.49742295000001,25.985805083333332
2017,Ullrich,1774.4316666666666,1973.8058333333333,500.38972999999993,228.901685,416.9914416666666,399.16195228000004,211.20705242,35.524121966666655
2015,Water Treatment Plant 4,2138.2891666666665,622.2908333333334,577.338075,384.8920499999999,620.1038583333333,343.5803033,181.79734495,30.57753508333333
2017,Water Treatment Plant 4,1917.8491666666666,844.7541666666667,540.8334649999999,247.4025425,450.69455416666665,431.42400574000004,228.27775061,38.39534031666666
